Employment,Employment_Type
"Student, full-time;Independent contractor, freelancer, or self-employed",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Student, full-time",Employed Full Time
I prefer not to say,Not employed
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed;Employed, part-time",Employed Part Time
"Not employed, and not looking for work",Not Employed but not looking for Work
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, part-time",Employed Part Time
"Not employed, but looking for work;Student, part-time",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Not employed, and not looking for work",Not Employed but not looking for Work
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, part-time",Employed Part Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Independent contractor, freelancer, or self-employed",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work",Student Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Student, part-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
I prefer not to say,Not employed
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time",Student Full Time
"Employed, part-time",Employed Part Time
"Employed, part-time",Employed Part Time
"Not employed, and not looking for work",Not Employed but not looking for Work
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Student, full-time",Student Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Employed, full-time",Employed Full Time
"Student, part-time",Student Part Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Student, part-time;Employed, part-time",Student Part Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Not employed, but looking for work",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work;Not employed, and not looking for work",Not Employed but looking for Work
"Not employed, and not looking for work",Not Employed but not looking for Work
I prefer not to say,Not employed
"Employed, full-time;Student, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, part-time",Employed Part Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Student, full-time",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
I prefer not to say,Not employed
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, and not looking for work",Not Employed but not looking for Work
"Student, full-time;Employed, part-time",Student Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Not employed, and not looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
Retired,Not employed
"Employed, full-time",Employed Full Time
"Student, full-time;Independent contractor, freelancer, or self-employed",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
Retired,Not employed
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Not employed, and not looking for work;Student, part-time",Not Employed but not looking for Work
"Employed, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, part-time",Employed Part Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",Student Part Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Student, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Student, part-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, part-time",Employed Part Time
"Employed, part-time",Employed Part Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Student, full-time",Student Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Student, part-time;Employed, part-time",Student Part Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, and not looking for work",Not Employed but not looking for Work
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Student, part-time",Employed Full Time
"Independent contractor, freelancer, or self-employed;Student, part-time",Student Part Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, and not looking for work;Student, part-time",Not Employed but not looking for Work
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Not employed, but looking for work;Not employed, and not looking for work",Not Employed but looking for Work
I prefer not to say,Not employed
"Employed, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Student, full-time;Not employed, but looking for work",Student Full Time
"Student, full-time",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
I prefer not to say,Not employed
"Student, part-time",Student Part Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, and not looking for work",Not Employed but not looking for Work
"Not employed, but looking for work",Not Employed but looking for Work
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time;Student, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
Retired,Not employed
"Student, full-time;Employed, part-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time;Student, part-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time;Not employed, but looking for work",Student Full Time
"Not employed, but looking for work",Not Employed but looking for Work
I prefer not to say,Not employed
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, part-time",Student Part Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, part-time",Employed Part Time
"Student, part-time",Student Part Time
"Not employed, but looking for work",Not Employed but looking for Work
"Student, full-time",Student Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Not employed, but looking for work;Not employed, and not looking for work",Not Employed but looking for Work
"Student, full-time",Student Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, part-time",Employed Part Time
"Student, full-time",Student Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Not employed, but looking for work",Not Employed but looking for Work
"Student, part-time;Employed, part-time",Student Part Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, part-time;Employed, part-time",Student Part Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
Retired,Not employed
"Employed, full-time",Employed Full Time
I prefer not to say,Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Not employed, and not looking for work",Not Employed but not looking for Work
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Not employed, and not looking for work",Not Employed but not looking for Work
"Employed, full-time",Employed Full Time
"Employed, full-time;Student, full-time",Employed Full Time
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Not Employed but looking for Work
"Student, full-time",Student Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Employed, full-time;Employed, part-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Employed Full Time
"Student, full-time",Student Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Student Full Time
"Not employed, and not looking for work",Not Employed but not looking for Work
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, part-time;Employed, part-time",Student Part Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, part-time",Student Part Time
"Employed, full-time;Student, part-time",Employed Full Time
"Student, full-time",Student Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, part-time",Employed Part Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Student, full-time;Not employed, but looking for work",Student Full Time
"Independent contractor, freelancer, or self-employed;Student, part-time",Student Part Time
"Student, full-time;Not employed, but looking for work",Student Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work;Employed, part-time",Not Employed but looking for Work
"Independent contractor, freelancer, or self-employed",Not employed
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Student, full-time",Employed Full Time
"Student, part-time;Employed, part-time",Student Part Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Not Employed but looking for Work
"Student, full-time",Student Full Time
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Independent contractor, freelancer, or self-employed",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, part-time",Employed Part Time
"Independent contractor, freelancer, or self-employed",Not employed
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed;Employed, part-time",Employed Part Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, part-time",Employed Part Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
I prefer not to say,Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Not Employed but looking for Work
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Student, part-time;Employed, part-time",Student Part Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Student, full-time;Employed, part-time",Student Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
I prefer not to say,Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Employed, part-time",Employed Part Time
"Employed, full-time",Employed Full Time
"Student, part-time;Employed, part-time",Student Part Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Employed, full-time;Employed, part-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, part-time",Student Part Time
"Employed, part-time",Employed Part Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Employed, part-time",Student Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, part-time",Student Part Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Not employed, but looking for work",Not Employed but looking for Work
"Employed, full-time",Employed Full Time
"Employed, full-time;Student, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed;Employed, part-time",Employed Part Time
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, part-time",Employed Part Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Student, full-time;Not employed, and not looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Not Employed but looking for Work
"Independent contractor, freelancer, or self-employed",Not employed
"Employed, full-time",Employed Full Time
"Employed, part-time",Employed Part Time
"Student, full-time;Not employed, but looking for work",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Employed, full-time",Employed Full Time
"Independent contractor, freelancer, or self-employed",Not employed
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Student, part-time",Not Employed but looking for Work
"Employed, full-time;Independent contractor, freelancer, or self-employed",Employed Full Time
"Student, full-time",Student Full Time
"Employed, full-time",Employed Full Time
